story_id,premise,initial,counterfactual,original_ending,edited_ending,differences
42b12f6d-811e-4a0f-bd1f-5d7fdde74973,The soccer game was tied 3 to 3 and there was a minute left to play.,"Julie had never scored a goal yet, but knew today would be her day.",Julie was eagerly watching the game in the stands.,"Ashley passed her the ball and this was chance. She kicked as hard as she could, and the ball soared into the net. Julie's first goal won the game.","Ashley passed the ball and this was the chance. Another teammate kicked as hard as she could, and the ball soared into the net. Julie's got to see the goal win the game.","see, win, to, teammate, got, Another"
8a1693c7-dabf-46bb-a4af-d402358b72bc,Molly loves popcorn.,She eats it everyday.,"However, she ate too much of it one day, and never wants to eat it again.",On Molly birthday her mom took her to the popcorn factory. They took a tour of the factory. Molly had a great day.,On Molly birthday her mom took her to the popcorn factory. They took a tour of the factory. But Molly had a bad day.,"bad, But"
aef4817e-7700-455a-a24c-a1d0693d786b,Tim rented a car to visit his ill mother.,Tim's mother was in a nursing home in Detroit.,Tim's mother was a patient at a hospital.,"While on his way to the nursing home, Tim was in a car accident. The tow truck driver offered to drop off Tim at the nursing home. Tim was very thankful.","While on his way to the hospital, Tim was in a car accident. The tow truck driver offered to drop off Tim at the hospital. Tim was very thankful.","hospital., hospital,"
bcdfb6a2-5c2b-4729-a7a6-54b5ea98006d,Max had been dating Maddie for three Year's.,He had never met her family.,Max had met Maddie's family many times.,He felt very suspicious and told Maddie he wanted to meet them. Maddie was worried because she had a secret. Maddie wondered how Max would react to her two dads.,He felt very welcomed by them and told Maddie he liked them. Maddie was worried because she had a secret. Maddie wondered how Max would react to knowing that wasn't really her family.,"knowing, liked, family., welcomed, wasn't, that, them, by, really"
b43d2ff6-c682-4fd7-b20c-5e935b913cfc,Kennan was born with a proprioceptive disorder.,His mom had a hard time explaining to his brother what that meant.,His mom explained it to his brother in a way that made his brother perfectly understand.,"Because Kallen didn't understand, the boys fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.","Even though Kallen understoond, the boys still fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.","understoond,, still, Even, though"
b43d2ff6-c682-4fd7-b20c-5e935b913cfc,Kennan was born with a proprioceptive disorder.,His mom had a hard time explaining to his brother what that meant.,His mom explained it to his brother in a way that made his brother perfectly understand.,"Because Kallen didn't understand, the boys fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.","Because Kallen understood, the boys got along really well. This made things very easy for the family. They considered giving advice online about how to help explain things to young children.","along, giving, well., got, young, explain, understood,, children., how, advice, online, about, easy, really"
76cd25b2-6658-4184-8d7e-5c173cc8ebe9,Rich had worked in the woods for Years.,He spent most of his days alone and his nights drinking.,He never drank because he spent most of his time alone.,As he got older he realized his lifestyle needed to change. He went to Alcoholics Anonymous and sobered up. Rich was successful in Alcoholics Anonymous and became a sponsor.,As he got older he realized his lifestyle needed to change. He went to a bar and loosened up. Rich was successful in socializing and became a regular.,"regular., loosened, bar, socializing"
76cd25b2-6658-4184-8d7e-5c173cc8ebe9,Rich had worked in the woods for Years.,He spent most of his days alone and his nights drinking.,He never drank because he spent most of his time alone.,As he got older he realized his lifestyle needed to change. He went to Alcoholics Anonymous and sobered up. Rich was successful in Alcoholics Anonymous and became a sponsor.,As he got older he realized his lifestyle needed to change. He went to a big city to live. Rich was successful in the big city.,"big, city, the, live., city."
d345193c-1e94-457c-80f7-9eed7333f030,Tanya wanted to see her sister.,She took a plane.,She took a car.,She watched a movie on the plane. She listened to music. She arrived to her sister's house afterwards.,She watched a movie in the car. She listened to music. She arrived to her sister's house afterwards.,"car., in"
3ed15080-04ee-4b32-a95d-12dfed45da3f,Omar was walking his dog in a new neighborhood.,Then he realized he had gotten lost!,He new exactly where he was going.,Omar was afraid. He retraced his steps carefully. They made it home safely.,Omar was fine. He continued on his walk. They made it home safely.,"on, continued, walk., fine."
b17a99fe-5882-41cc-a11c-0fd49b31a2aa,"My friend texted me, wanting to hang out Friday night.",I wanted to take her out for dinner.,I wanted to stay home and avoid her though.,"When I tried to contact her on Friday, I got no reply. Despite the change of plans, everything turned out great. I met up with another friend and we enjoyed ourselves.","She contacted me on Friday, but I did not reply. I was able to stay home. I watched TV and enjoyed the quiet time by myself.","not, able, She, stay, myself., was, me, home., TV, contacted, watched, but, time, by, did, quiet"
b17a99fe-5882-41cc-a11c-0fd49b31a2aa,"My friend texted me, wanting to hang out Friday night.",I wanted to take her out for dinner.,I wanted to stay home and avoid her though.,"When I tried to contact her on Friday, I got no reply. Despite the change of plans, everything turned out great. I met up with another friend and we enjoyed ourselves.","When she tried to contact me on Friday, she got no reply. Despite the change of plans, everything turned out great. She met up with another friend and they enjoyed themselves.","She, themselves., she, me, they"
3922289b-0ae4-43d6-85ee-2b0d7bd42d4c,My husband is lazy.,He never wants to clean up.,I decided to leave him.,He likes to leave dirty dishes in the sink. i hate cleaning up his messes. But I do it anyway because I'm afraid he will leave me.,"He likes to leave dirty dishes in the sink. I hate cleaning up his messes, so now I don't have to anymore. I should never have done them because I didn't care if he left me.","now, should, didn't, so, never, anymore., care, left, have, don't, them, messes,, if, done"
3922289b-0ae4-43d6-85ee-2b0d7bd42d4c,My husband is lazy.,He never wants to clean up.,I decided to leave him.,He likes to leave dirty dishes in the sink. i hate cleaning up his messes. But I do it anyway because I'm afraid he will leave me.,He likes to leave dirty dishes in the sink. I hate cleaning up his messes. But I've finally had enough.,"enough., had, finally, I've"
29ed9acb-7a93-45cd-b9f2-393837ac3a95,Dana thought his girlfriend's roommate liked him.,But tonight he found out how much.,He was ready to make a move on her tonight.,He showed at his girlfriend's home and her roommate opened the door. She sat next to him and then put her feet in his lap. Dana felt flustered and pushed her feet away.,He showed at his girlfriend's home and her roommate opened the door. To his amazement she sat next to him and then put her feet in his lap. Dana felt happy and massaged her feet.,"amazement, feet., massaged, she, happy, To"
7968047c-b14c-4560-97ec-27bed2f9d117,"Amy and Ben were young, and in love.",They were sitting on the swings in the park together.,They were sitting on the swings in the park together but Amy had to run home.,Ben reached over and grabbed her hand. She was surprised and pleased. She leaned over and kissed him.,Before she left Ben reached over and grabbed her hand. She was surprised and pleased. She leaned over and kissed him goodbye.,"goodbye., Before, left, she, him"
7968047c-b14c-4560-97ec-27bed2f9d117,"Amy and Ben were young, and in love.",They were sitting on the swings in the park together.,They were sitting on the swings in the park together but Amy had to run home.,Ben reached over and grabbed her hand. She was surprised and pleased. She leaned over and kissed him.,Ben reached over and grabbed her hand. She was surprised and pleased. She leaned over and kissed him goodbye,"goodbye, him"
2eaf7ccf-73ab-4aea-8e2a-45a80a187d61,Joe pressed the pause button.,He wasn't very interesting in the movie that he was watching.,"The movie was great, but very long, and Joe was in desperate need of a bathroom break.","He began to think about everything that was wrong in his life. Too bad life has no pause button, he thought. He sighed and kept watching the movie.","While in the bathroom, Joe began to think about everything that was wrong in his life. Too bad life had no pause button, he thought. He sighed and kept watching the movie.","While, had, Joe, bathroom,"
deb8c53c-77d6-4922-9663-c80d2884b306,Mike would go to his friends house.,They would play Sega for hours.,They would study for hours.,All different kinds of games. After hours he'd finally head home. Mike loved going to his friends' house.,All different kinds of subjects. After hours he'd finally head home. Mike loved going to his friends' house.,subjects.
09578abd-d8e2-470a-8540-80b85346141c,John took Sarah out on a first date at a restaurant.,"He ordered her his favorite entree, a pork dish.",John and Sarah had a great and uneventful time.,Sarah took a bite and her face swelled up. She asked if there was pineapple in the dish. He said yes.,Sarah took a bite and her face showed her happiness. She asked if there was pineapple in the dish. He said yes. She loves pineapple.,"loves, showed, happiness., pineapple."
74bbd09d-62e4-47e1-bb31-389a2605d410,Carl stayed home alone while his parents were on a trip.,He was hungry and ordered food.,He was full of food and didn't want any more.,"After an hour of waiting, Carl fell asleep. 3 hours later, a knock on the door woke him up. The food had arrived and Carl was excited.","Carl fell asleep. 3 hours later, a knock on the door woke him up. A deliver driver had knocked on the wrong door and Carl was annoyed.","driver, knocked, A, deliver, annoyed., wrong"
74bbd09d-62e4-47e1-bb31-389a2605d410,Carl stayed home alone while his parents were on a trip.,He was hungry and ordered food.,He was full of food and didn't want any more.,"After an hour of waiting, Carl fell asleep. 3 hours later, a knock on the door woke him up. The food had arrived and Carl was excited.","Carl fell asleep. 3 hours later, a knock on the door woke him up. Some food had arrived and Carl was confused.","Some, confused."
ca9ff9e9-9206-4282-8ae0-6ad01539f03b,Janice was excited to bring cupcakes to her work for her birthday.,She worked all day on making the perfect frosting.,She completely rushed making the frosting.,Each cupcake was truly a work of art. Everyone at her work loved them. Janice was thrilled and happy for the rest of the day.,Each cupcake was a mess. Everyone at her work loved them because they still tasted good Janice was thrilled and happy for the rest of the day,"tasted, day, good, still, they, mess., them, because"
ca9ff9e9-9206-4282-8ae0-6ad01539f03b,Janice was excited to bring cupcakes to her work for her birthday.,She worked all day on making the perfect frosting.,She completely rushed making the frosting.,Each cupcake was truly a work of art. Everyone at her work loved them. Janice was thrilled and happy for the rest of the day.,Each cupcake looked strange but tasted great. Everyone at her work loved them. Janice was thrilled and happy for the rest of the day.,"tasted, great., strange, looked, but"
6fde7e0e-1197-4d89-b9a4-403b59d9887d,Sarah didn't like the food her school served besides the burritos.,So she only bought lunch when they were serving them.,So she skipped eating a lunch in her school.,"But one day, it was announced that they would no longer serve them. Sarah recorded herself eating her last school burrito. Sarah save the video.","But one day, it was announced that they would no longer serve them and Sarah made an exception. Sarah recorded herself eating her last school burrito. Sarah save the video.","an, and, exception., them, made"
21080e75-ac08-4c76-a8a3-dca85d71c1cb,Jim was in high school as he heard the tell tale tornado siren.,He felt a growing panic as he saw the green color of the sky.,Luckily it was just a drill.,Everyone moved into the hallway and kept their backs to the wall. He heard the whipping wind grow stronger outside. Jim was scared.,Everyone moved into the hallway and kept their backs to the wall. He heard his classmates start to complain. Jim was scared despite it being a drill.,"a, drill., it, his, despite, scared, being, start, classmates, complain."
21080e75-ac08-4c76-a8a3-dca85d71c1cb,Jim was in high school as he heard the tell tale tornado siren.,He felt a growing panic as he saw the green color of the sky.,Luckily it was just a drill.,Everyone moved into the hallway and kept their backs to the wall. He heard the whipping wind grow stronger outside. Jim was scared.,Everyone moved into the hallway and kept their backs to the wall. He heard the all clear signal Jim was relieved.,"all, clear, relieved., signal"
0e51b776-8663-4898-a7fc-9de66418ac7c,I had to reprimand two employees that worked at different locations.,I hated doing it and thought the matter was done with.,"Perhaps I overdid it, because both quit at the end of the day.","Weeks later, one left a message about a question on paperwork. I phoned with: ""It's me"" and she said horrible things about me. I was forced to fire the employee.","Weeks later, one left a message about a question on their last paycheck I phoned and before I could answer her question she said horrible things to me. I was glad I had fired the employee.","before, her, had, could, answer, fired, their, paycheck, last, glad"
