Metric,Value
bart_prediction_edited_avg_score,-2.659657433727556
bart_prediction_cf_avg_score,-2.617819114755993
bart_prediction_initial_avg_score,-2.7475699505530113
bart_prediction_original_avg_score,-2.305725343414575
bart_edited_ending_cf_avg_score,-3.2436845044459193
bart_edited_ending_initial_avg_score,-3.3512787753885442
bart_edited_ending_original_avg_score,-1.4745400430742375
bert_prediction_edited_f1,0.6502529978752136
bert_prediction_edited_precision,0.6178699135780334
bert_prediction_edited_recall,0.6879289150238037
bert_prediction_cf_f1,0.6098970174789429
bert_prediction_cf_precision,0.5285322666168213
bert_prediction_cf_recall,0.7247316241264343
bert_prediction_initial_f1,0.6020634770393372
bert_prediction_initial_precision,0.5211698412895203
bert_prediction_initial_recall,0.7175381779670715
bert_prediction_original_f1,0.6712471842765808
bert_prediction_original_precision,0.6320621967315674
bert_prediction_original_recall,0.7175423502922058
bert_edited_ending_cf_f1,0.5979950428009033
bert_edited_ending_cf_precision,0.5495187044143677
bert_edited_ending_cf_recall,0.6584897637367249
bert_edited_ending_initial_f1,0.5935469269752502
bert_edited_ending_initial_precision,0.5445164442062378
bert_edited_ending_initial_recall,0.6546260714530945
bert_edited_ending_original_f1,0.8478881120681763
bert_edited_ending_original_precision,0.8415035605430603
bert_edited_ending_original_recall,0.8551868796348572
bleu_prediction_edited,65.85965493351847
bleu_prediction_cf,4.81013917151405
bleu_prediction_initial,4.81013917151405
bleu_prediction_original,52.02105629031968
bleu_edited_ending_cf,7.940033610293232
bleu_edited_ending_initial,8.68056174955806
bleu_edited_ending_original,66.79499578149115
rouge_prediction_edited_rouge-1_f,0.36889481419312264
rouge_prediction_edited_rouge-1_p,0.31293869097146076
rouge_prediction_edited_rouge-1_r,0.4593997734921098
rouge_prediction_edited_rouge-2_f,0.18747463453851707
rouge_prediction_edited_rouge-2_p,0.1572572301471415
rouge_prediction_edited_rouge-2_r,0.23778405365002409
rouge_prediction_edited_rouge-l_f,0.3561205321449772
rouge_prediction_edited_rouge-l_p,0.3021230995363694
rouge_prediction_edited_rouge-l_r,0.4434353264157893
rouge_prediction_cf_rouge-1_f,0.2279392041614464
rouge_prediction_cf_rouge-1_p,0.14679511479920065
rouge_prediction_cf_rouge-1_r,0.544807832254229
rouge_prediction_cf_rouge-2_f,0.10397724425859946
rouge_prediction_cf_rouge-2_p,0.06418096574041413
rouge_prediction_cf_rouge-2_r,0.3000888375782833
rouge_prediction_cf_rouge-l_f,0.21720899050764964
rouge_prediction_cf_rouge-l_p,0.13986727261960688
rouge_prediction_cf_rouge-l_r,0.5195499192233709
rouge_prediction_initial_rouge-1_f,0.21880658217100235
rouge_prediction_initial_rouge-1_p,0.14027809942593392
rouge_prediction_initial_rouge-1_r,0.528569580098506
rouge_prediction_initial_rouge-2_f,0.11219646485281783
rouge_prediction_initial_rouge-2_p,0.06904639628998517
rouge_prediction_initial_rouge-2_r,0.3251482356027812
rouge_prediction_initial_rouge-l_f,0.2116544822986885
rouge_prediction_initial_rouge-l_p,0.13557853784848997
rouge_prediction_initial_rouge-l_r,0.5129855819112016
rouge_prediction_original_rouge-1_f,0.40808741279130795
rouge_prediction_original_rouge-1_p,0.3412702990295408
rouge_prediction_original_rouge-1_r,0.5173484702582675
rouge_prediction_original_rouge-2_f,0.2525216844908607
rouge_prediction_original_rouge-2_p,0.20847279491793796
rouge_prediction_original_rouge-2_r,0.326799975946647
rouge_prediction_original_rouge-l_f,0.39745343995988625
rouge_prediction_original_rouge-l_p,0.332365348768904
rouge_prediction_original_rouge-l_r,0.5038973934639684
rouge_edited_ending_cf_rouge-1_f,0.17373937482737128
rouge_edited_ending_cf_rouge-1_p,0.12390285068030615
rouge_edited_ending_cf_rouge-1_r,0.31331872198483035
rouge_edited_ending_cf_rouge-2_f,0.02385259633379814
rouge_edited_ending_cf_rouge-2_p,0.01607581688258264
rouge_edited_ending_cf_rouge-2_r,0.05099779008869913
rouge_edited_ending_cf_rouge-l_f,0.16124715684843063
rouge_edited_ending_cf_rouge-l_p,0.11508991478387556
rouge_edited_ending_cf_rouge-l_r,0.2905416370524605
rouge_edited_ending_initial_rouge-1_f,0.15428896782581397
rouge_edited_ending_initial_rouge-1_p,0.10921290707770277
rouge_edited_ending_initial_rouge-1_r,0.2818681135210064
rouge_edited_ending_initial_rouge-2_f,0.020283629647919514
rouge_edited_ending_initial_rouge-2_p,0.013671408523332275
rouge_edited_ending_initial_rouge-2_r,0.04288880999624798
rouge_edited_ending_initial_rouge-l_f,0.1439524281436616
rouge_edited_ending_initial_rouge-l_p,0.10186120652609797
rouge_edited_ending_initial_rouge-l_r,0.263500104119939
rouge_edited_ending_original_rouge-1_f,0.7505970982440977
rouge_edited_ending_original_rouge-1_p,0.7384739028808159
rouge_edited_ending_original_rouge-1_r,0.7697047796453679
rouge_edited_ending_original_rouge-2_f,0.6217625703163825
rouge_edited_ending_original_rouge-2_p,0.60846140592754
rouge_edited_ending_original_rouge-2_r,0.6415145620080539
rouge_edited_ending_original_rouge-l_f,0.7472672680295176
rouge_edited_ending_original_rouge-l_p,0.7351916890905394
rouge_edited_ending_original_rouge-l_r,0.7662753732136847
