Metric,Value
bart_prediction_edited_avg_score,-3.110597718451634
bart_prediction_cf_avg_score,-2.5951256616056457
bart_prediction_initial_avg_score,-3.16226211599082
bart_prediction_original_avg_score,-2.995185842494334
bart_edited_ending_cf_avg_score,-3.2436845044459193
bart_edited_ending_initial_avg_score,-3.3512787753885442
bart_edited_ending_original_avg_score,-1.4745400430742375
bert_prediction_edited_f1,0.5849169492721558
bert_prediction_edited_precision,0.5573623180389404
bert_prediction_edited_recall,0.616291344165802
bert_prediction_cf_f1,0.6049498915672302
bert_prediction_cf_precision,0.5218813419342041
bert_prediction_cf_recall,0.7224935293197632
bert_prediction_initial_f1,0.5760445594787598
bert_prediction_initial_precision,0.5014622211456299
bert_prediction_initial_recall,0.6793152093887329
bert_prediction_original_f1,0.5897269248962402
bert_prediction_original_precision,0.5585906505584717
bert_prediction_original_recall,0.6254716515541077
bert_edited_ending_cf_f1,0.5979950428009033
bert_edited_ending_cf_precision,0.5495187044143677
bert_edited_ending_cf_recall,0.6584897637367249
bert_edited_ending_initial_f1,0.5935469269752502
bert_edited_ending_initial_precision,0.5445164442062378
bert_edited_ending_initial_recall,0.6546260714530945
bert_edited_ending_original_f1,0.8478881120681763
bert_edited_ending_original_precision,0.8415035605430603
bert_edited_ending_original_recall,0.8551869988441467
bleu_prediction_edited,5.831376465417903
bleu_prediction_cf,7.087216812144859
bleu_prediction_initial,4.754521279191376
bleu_prediction_original,8.308589872019086
bleu_edited_ending_cf,7.940033610293232
bleu_edited_ending_initial,8.68056174955806
bleu_edited_ending_original,66.79499578149115
rouge_prediction_edited_rouge-1_f,0.22330814658810774
rouge_prediction_edited_rouge-1_p,0.18659050096241803
rouge_prediction_edited_rouge-1_r,0.2852023382997977
rouge_prediction_edited_rouge-2_f,0.04861808745586196
rouge_prediction_edited_rouge-2_p,0.04036023159092206
rouge_prediction_edited_rouge-2_r,0.0630418164762092
rouge_prediction_edited_rouge-l_f,0.20564393594263258
rouge_prediction_edited_rouge-l_p,0.17165006656111007
rouge_prediction_edited_rouge-l_r,0.26308244704456574
rouge_prediction_cf_rouge-1_f,0.19123814113909052
rouge_prediction_cf_rouge-1_p,0.12236622174754427
rouge_prediction_cf_rouge-1_r,0.4647246745030309
rouge_prediction_cf_rouge-2_f,0.06883778233644562
rouge_prediction_cf_rouge-2_p,0.04218486944174739
rouge_prediction_cf_rouge-2_r,0.20209213674793372
rouge_prediction_cf_rouge-l_f,0.17688916260642193
rouge_prediction_cf_rouge-l_p,0.11305774545930926
rouge_prediction_cf_rouge-l_r,0.43166522612618125
rouge_prediction_initial_rouge-1_f,0.14595900032953676
rouge_prediction_initial_rouge-1_p,0.09292494109812573
rouge_prediction_initial_rouge-1_r,0.3585366286605961
rouge_prediction_initial_rouge-2_f,0.03595362815907179
rouge_prediction_initial_rouge-2_p,0.021949271299970003
rouge_prediction_initial_rouge-2_r,0.10560593905635245
rouge_prediction_initial_rouge-l_f,0.13442620605938838
rouge_prediction_initial_rouge-l_p,0.08544433964054794
rouge_prediction_initial_rouge-l_r,0.3324784123131234
rouge_prediction_original_rouge-1_f,0.2225620660577404
rouge_prediction_original_rouge-1_p,0.18289797705500327
rouge_prediction_original_rouge-1_r,0.2907562232833422
rouge_prediction_original_rouge-2_f,0.05530488229032036
rouge_prediction_original_rouge-2_p,0.04508417645110443
rouge_prediction_original_rouge-2_r,0.07349099957787454
rouge_prediction_original_rouge-l_f,0.20533138182937583
rouge_prediction_original_rouge-l_p,0.1686686363607982
rouge_prediction_original_rouge-l_r,0.2684553999188368
rouge_edited_ending_cf_rouge-1_f,0.17373937482737128
rouge_edited_ending_cf_rouge-1_p,0.12390285068030615
rouge_edited_ending_cf_rouge-1_r,0.31331872198483035
rouge_edited_ending_cf_rouge-2_f,0.02385259633379814
rouge_edited_ending_cf_rouge-2_p,0.01607581688258264
rouge_edited_ending_cf_rouge-2_r,0.05099779008869913
rouge_edited_ending_cf_rouge-l_f,0.16124715684843063
rouge_edited_ending_cf_rouge-l_p,0.11508991478387556
rouge_edited_ending_cf_rouge-l_r,0.2905416370524605
rouge_edited_ending_initial_rouge-1_f,0.15428896782581397
rouge_edited_ending_initial_rouge-1_p,0.10921290707770277
rouge_edited_ending_initial_rouge-1_r,0.2818681135210064
rouge_edited_ending_initial_rouge-2_f,0.020283629647919514
rouge_edited_ending_initial_rouge-2_p,0.013671408523332275
rouge_edited_ending_initial_rouge-2_r,0.04288880999624798
rouge_edited_ending_initial_rouge-l_f,0.1439524281436616
rouge_edited_ending_initial_rouge-l_p,0.10186120652609797
rouge_edited_ending_initial_rouge-l_r,0.263500104119939
rouge_edited_ending_original_rouge-1_f,0.7505970982440977
rouge_edited_ending_original_rouge-1_p,0.7384739028808159
rouge_edited_ending_original_rouge-1_r,0.7697047796453679
rouge_edited_ending_original_rouge-2_f,0.6217625703163825
rouge_edited_ending_original_rouge-2_p,0.60846140592754
rouge_edited_ending_original_rouge-2_r,0.6415145620080539
rouge_edited_ending_original_rouge-l_f,0.7472672680295176
rouge_edited_ending_original_rouge-l_p,0.7351916890905394
rouge_edited_ending_original_rouge-l_r,0.7662753732136847
