story_id,premise,initial,counterfactual,original_ending,edited_ending,generated_text
42b12f6d-811e-4a0f-bd1f-5d7fdde74973,The soccer game was tied 3 to 3 and there was a minute left to play.,"Julie had never scored a goal yet, but knew today would be her day.",Julie was eagerly watching the game in the stands.,"Ashley passed her the ball and this was chance. She kicked as hard as she could, and the ball soared into the net. Julie's first goal won the game.","Ashley passed the ball and this was the chance. Another teammate kicked as hard as she could, and the ball soared into the net. Julie's got to see the goal win the game.","As the final minute ticked away, Julie watched anxiously from the stands, cheering on her teammates. Although she didn't get the chance to score the winning goal herself, the excitement and thrill of the game filled her heart"
8a1693c7-dabf-46bb-a4af-d402358b72bc,Molly loves popcorn.,She eats it everyday.,"However, she ate too much of it one day, and never wants to eat it again.",On Molly birthday her mom took her to the popcorn factory. They took a tour of the factory. Molly had a great day.,On Molly birthday her mom took her to the popcorn factory. They took a tour of the factory. But Molly had a bad day.,"On Molly's birthday, her mom surprised her with a visit to the popcorn factory. Molly, although hesitant at first due to her recent experience, decided to go on the factory tour. As they walked through the factory, Molly"
aef4817e-7700-455a-a24c-a1d0693d786b,Tim rented a car to visit his ill mother.,Tim's mother was in a nursing home in Detroit.,Tim's mother was a patient at a hospital.,"While on his way to the nursing home, Tim was in a car accident. The tow truck driver offered to drop off Tim at the nursing home. Tim was very thankful.","While on his way to the hospital, Tim was in a car accident. The tow truck driver offered to drop off Tim at the hospital. Tim was very thankful.","While on his way to the hospital, Tim was in a car accident. The tow truck driver offered to drop off Tim at the hospital. Tim was very thankful."
bcdfb6a2-5c2b-4729-a7a6-54b5ea98006d,Max had been dating Maddie for three Year's.,He had never met her family.,Max had met Maddie's family many times.,He felt very suspicious and told Maddie he wanted to meet them. Maddie was worried because she had a secret. Maddie wondered how Max would react to her two dads.,He felt very welcomed by them and told Maddie he liked them. Maddie was worried because she had a secret. Maddie wondered how Max would react to knowing that wasn't really her family.,"Premise:  Max had been dating Maddie for three years.
Initial event: He had never met her family.
Original ending: He felt very suspicious and told Maddie he wanted to meet them. Maddie was worried because she had a secret"
b43d2ff6-c682-4fd7-b20c-5e935b913cfc,Kennan was born with a proprioceptive disorder.,His mom had a hard time explaining to his brother what that meant.,His mom explained it to his brother in a way that made his brother perfectly understand.,"Because Kallen didn't understand, the boys fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.","Even though Kallen understoond, the boys still fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.","With his brother now fully grasping Kennan's proprioceptive disorder, the boys developed a deeper bond. Understanding led to empathy, and instead of fighting, they found ways to support each other. This newfound harmony brought a sense"
b43d2ff6-c682-4fd7-b20c-5e935b913cfc,Kennan was born with a proprioceptive disorder.,His mom had a hard time explaining to his brother what that meant.,His mom explained it to his brother in a way that made his brother perfectly understand.,"Because Kallen didn't understand, the boys fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.","Because Kallen understood, the boys got along really well. This made things very easy for the family. They considered giving advice online about how to help explain things to young children.","Premise: Kennan was born with a proprioceptive disorder.
Initial event: His mom had a hard time explaining to his brother what that meant.
Original ending: Because Kallen didn't understand, the boys fought a lot. This made things very"
76cd25b2-6658-4184-8d7e-5c173cc8ebe9,Rich had worked in the woods for Years.,He spent most of his days alone and his nights drinking.,He never drank because he spent most of his time alone.,As he got older he realized his lifestyle needed to change. He went to Alcoholics Anonymous and sobered up. Rich was successful in Alcoholics Anonymous and became a sponsor.,As he got older he realized his lifestyle needed to change. He went to a bar and loosened up. Rich was successful in socializing and became a regular.,"As he got older, he realized his lifestyle needed to change. Rich sought company and connection through different means, eventually finding solace in volunteering at a local community center. He dedicated himself to giving back and supporting others, fostering"
76cd25b2-6658-4184-8d7e-5c173cc8ebe9,Rich had worked in the woods for Years.,He spent most of his days alone and his nights drinking.,He never drank because he spent most of his time alone.,As he got older he realized his lifestyle needed to change. He went to Alcoholics Anonymous and sobered up. Rich was successful in Alcoholics Anonymous and became a sponsor.,As he got older he realized his lifestyle needed to change. He went to a big city to live. Rich was successful in the big city.,"As he got older, Rich realized that his solitary lifestyle had kept him away from seeking personal growth. He joined a local woodworking group and connected with others who shared his passion for craftsmanship. Through these newfound friendships and support, Rich"
d345193c-1e94-457c-80f7-9eed7333f030,Tanya wanted to see her sister.,She took a plane.,She took a car.,She watched a movie on the plane. She listened to music. She arrived to her sister's house afterwards.,She watched a movie in the car. She listened to music. She arrived to her sister's house afterwards.,"She watched the passing landscapes through the car window. She sang along to her favorite songs on the radio. Finally, she reached her sister's house with a smile, grateful for the scenic journey by car that brought her to her"
3ed15080-04ee-4b32-a95d-12dfed45da3f,Omar was walking his dog in a new neighborhood.,Then he realized he had gotten lost!,He new exactly where he was going.,Omar was afraid. He retraced his steps carefully. They made it home safely.,Omar was fine. He continued on his walk. They made it home safely.,"Omar chuckled at the thought of getting lost. He confidently continued exploring the new neighborhood with his dog by his side, feeling a sense of adventure in the familiar surroundings."
b17a99fe-5882-41cc-a11c-0fd49b31a2aa,"My friend texted me, wanting to hang out Friday night.",I wanted to take her out for dinner.,I wanted to stay home and avoid her though.,"When I tried to contact her on Friday, I got no reply. Despite the change of plans, everything turned out great. I met up with another friend and we enjoyed ourselves.","She contacted me on Friday, but I did not reply. I was able to stay home. I watched TV and enjoyed the quiet time by myself.","When Friday night arrived, I decided to stay in and relax at home instead of reaching out to my friend. As the evening unfolded, I relished the quiet time and indulged in self-care. I treated myself to a"
b17a99fe-5882-41cc-a11c-0fd49b31a2aa,"My friend texted me, wanting to hang out Friday night.",I wanted to take her out for dinner.,I wanted to stay home and avoid her though.,"When I tried to contact her on Friday, I got no reply. Despite the change of plans, everything turned out great. I met up with another friend and we enjoyed ourselves.","When she tried to contact me on Friday, she got no reply. Despite the change of plans, everything turned out great. She met up with another friend and they enjoyed themselves.","When I tried to contact her on Friday, I got no reply. Despite my decision to stay home and avoid her, everything turned out great. I ended up having a relaxing evening, watching movies and unwinding at home."
