story_id,premise,initial,counterfactual,original_ending,edited_ending,generated_text
42b12f6d-811e-4a0f-bd1f-5d7fdde74973,The soccer game was tied 3 to 3 and there was a minute left to play.,"Julie had never scored a goal yet, but knew today would be her day.",Julie was eagerly watching the game in the stands.,"Ashley passed her the ball and this was chance. She kicked as hard as she could, and the ball soared into the net. Julie's first goal won the game.","Ashley passed the ball and this was the chance. Another teammate kicked as hard as she could, and the ball soared into the net. Julie's got to see the goal win the game.","Adapted Ending:
As the clock counted down, the tension on the field was palpable. The ball found its way to Ashley once again, and in a split second decision, she saw Julie cheering enthusiastically from the stands. With a determined look"
8a1693c7-dabf-46bb-a4af-d402358b72bc,Molly loves popcorn.,She eats it everyday.,"However, she ate too much of it one day, and never wants to eat it again.",On Molly birthday her mom took her to the popcorn factory. They took a tour of the factory. Molly had a great day.,On Molly birthday her mom took her to the popcorn factory. They took a tour of the factory. But Molly had a bad day.,"Adapted Ending:

On Molly's birthday, her mom surprised her by taking her to the popcorn factory, a place Molly had always dreamed of visiting. As they embarked on the tour of the factory, Molly's eyes widened with excitement at the sight"
aef4817e-7700-455a-a24c-a1d0693d786b,Tim rented a car to visit his ill mother.,Tim's mother was in a nursing home in Detroit.,Tim's mother was a patient at a hospital.,"While on his way to the nursing home, Tim was in a car accident. The tow truck driver offered to drop off Tim at the nursing home. Tim was very thankful.","While on his way to the hospital, Tim was in a car accident. The tow truck driver offered to drop off Tim at the hospital. Tim was very thankful.","Adapted Ending:
While on his way to the hospital where his mother was admitted, Tim was in a car accident. The tow truck driver offered to drop him off directly at the hospital. Grateful for the assistance, Tim thanked the driver before"
bcdfb6a2-5c2b-4729-a7a6-54b5ea98006d,Max had been dating Maddie for three Year's.,He had never met her family.,Max had met Maddie's family many times.,He felt very suspicious and told Maddie he wanted to meet them. Maddie was worried because she had a secret. Maddie wondered how Max would react to her two dads.,He felt very welcomed by them and told Maddie he liked them. Maddie was worried because she had a secret. Maddie wondered how Max would react to knowing that wasn't really her family.,"Adapted Ending:

Despite having met Maddie's family already on multiple occasions, Max still felt a twinge of nerves as he expressed his desire to spend more time with her dads. Maddie, initially taken aback by his enthusiasm, couldn"
b43d2ff6-c682-4fd7-b20c-5e935b913cfc,Kennan was born with a proprioceptive disorder.,His mom had a hard time explaining to his brother what that meant.,His mom explained it to his brother in a way that made his brother perfectly understand.,"Because Kallen didn't understand, the boys fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.","Even though Kallen understoond, the boys still fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.","Adapted ending:
Due to his mom's clear and concise explanation, Kennan's brother, Kallen, comprehended the challenges his brother faced with the proprioceptive disorder. This deepened their bond as siblings, allowing them to communicate effectively and"
b43d2ff6-c682-4fd7-b20c-5e935b913cfc,Kennan was born with a proprioceptive disorder.,His mom had a hard time explaining to his brother what that meant.,His mom explained it to his brother in a way that made his brother perfectly understand.,"Because Kallen didn't understand, the boys fought a lot. This made things very hard for the family. They considered seeing a family counselor to help with everything.","Because Kallen understood, the boys got along really well. This made things very easy for the family. They considered giving advice online about how to help explain things to young children.","Adapted Ending:

Thanks to his mom's clear explanation, Kennan's brother not only understood but also embraced Kennan's proprioceptive disorder with empathy and support. Their newfound understanding brought the brothers closer together, dissipating the tension that previously fueled"
76cd25b2-6658-4184-8d7e-5c173cc8ebe9,Rich had worked in the woods for Years.,He spent most of his days alone and his nights drinking.,He never drank because he spent most of his time alone.,As he got older he realized his lifestyle needed to change. He went to Alcoholics Anonymous and sobered up. Rich was successful in Alcoholics Anonymous and became a sponsor.,As he got older he realized his lifestyle needed to change. He went to a bar and loosened up. Rich was successful in socializing and became a regular.,"Rich had worked in the woods for years, spending most of his time in solitude. Despite the long hours and physical exhaustion, he found solace in the quiet of the forest. He never felt the need to drown his thoughts in alcohol like many of"
76cd25b2-6658-4184-8d7e-5c173cc8ebe9,Rich had worked in the woods for Years.,He spent most of his days alone and his nights drinking.,He never drank because he spent most of his time alone.,As he got older he realized his lifestyle needed to change. He went to Alcoholics Anonymous and sobered up. Rich was successful in Alcoholics Anonymous and became a sponsor.,As he got older he realized his lifestyle needed to change. He went to a big city to live. Rich was successful in the big city.,"After years of dedicated work in the woods, Rich's solitary days and nights were a stark contrast in his routine. He found solace in the rhythm of nature that surrounded him, never feeling the need to drown his thoughts in alcohol. As he embraced"
d345193c-1e94-457c-80f7-9eed7333f030,Tanya wanted to see her sister.,She took a plane.,She took a car.,She watched a movie on the plane. She listened to music. She arrived to her sister's house afterwards.,She watched a movie in the car. She listened to music. She arrived to her sister's house afterwards.,"Adapted ending:
As Tanya drove down the familiar highways towards her sister's house, the passing landscape blurred into a mesmerizing dance of colors. With the wind rushing through the open car windows, she found solace in the freedom and spont"
3ed15080-04ee-4b32-a95d-12dfed45da3f,Omar was walking his dog in a new neighborhood.,Then he realized he had gotten lost!,He new exactly where he was going.,Omar was afraid. He retraced his steps carefully. They made it home safely.,Omar was fine. He continued on his walk. They made it home safely.,"As Omar walked his dog in the new neighborhood, he marveled at the diverse sights and sounds around him. With a confident stride, he led his furry companion along the winding streets. Surprisingly, the houses started to look familiar, and he soon"
